states,x,y
Andhra Pradesh,-78,-211
Arunachal Pradesh,283,181
Assam,249,111
Bihar,72,19
Chhattisgarh,-12,-53
Goa,-220,-202
Gujarat,,
Haryana,-159,188
Himachal Pradesh,-122,268
Jharkhand,90,86
Karnataka,-175,-231
Kerala,-186,-311
Madhya Pradesh,-116,9
Maharashtra,-212,-112
Manipur,282,71
Meghalaya,199,86
Mizoram,262,35
Nagaland,283,181
Odisha,60,-64
Punjab,-184,221
Rajasthan,-255,113
Sikkim,152,148
Tamil Nadu,-77,-299
Telangana,-98,-141
Tripura,231,37
Uttar Pradesh,-69,126
Uttarakhand,-79,207
,,
West Bengal,142,11
